Most failed logins:
IP              count
198.51.100.99   [104]
203.0.113.45    [99]
192.0.2.55      [91]
198.51.100.33   [90]
198.51.100.66   [89]
198.51.100.88   [87]
198.51.100.77   [85]
192.0.2.13      [84]
192.0.2.77      [78]
203.0.113.46    [77]
192.0.2.99      [77]
203.0.113.200   [76]
198.51.100.22   [76]
198.51.100.55   [71]
203.0.113.150   [70]
203.0.113.100   [58]

Possible brute-force attacks record:
IP              count   first failed login      last failed login
192.0.2.13      [5]     2025-03-10T15:07:07     2025-03-10T15:16:21
192.0.2.13      [5]     2025-03-10T15:39:14     2025-03-10T15:45:08
192.0.2.13      [5]     2025-03-10T15:50:41     2025-03-10T15:59:01
192.0.2.13      [5]     2025-03-10T16:22:12     2025-03-10T16:31:00
192.0.2.13      [5]     2025-03-10T16:33:59     2025-03-10T16:43:57
192.0.2.13      [6]     2025-03-10T16:56:09     2025-03-10T17:05:27
192.0.2.13      [8]     2025-03-10T17:07:19     2025-03-10T17:11:56
198.51.100.22   [6]     2025-03-10T13:55:10     2025-03-10T14:05:05
198.51.100.22   [6]     2025-03-10T14:15:04     2025-03-10T14:24:57
198.51.100.22   [5]     2025-03-10T14:32:35     2025-03-10T14:42:09
198.51.100.22   [5]     2025-03-10T14:45:51     2025-03-10T14:55:47
198.51.100.22   [9]     2025-03-10T14:57:23     2025-03-10T15:06:52
198.51.100.22   [5]     2025-03-10T15:11:13     2025-03-10T15:21:00
198.51.100.22   [8]     2025-03-10T15:49:59     2025-03-10T15:59:45
198.51.100.22   [5]     2025-03-10T16:10:56     2025-03-10T16:20:31
198.51.100.22   [9]     2025-03-10T16:26:35     2025-03-10T16:36:12
198.51.100.22   [5]     2025-03-10T16:44:24     2025-03-10T16:54:14
198.51.100.99   [8]     2025-03-10T13:50:42     2025-03-10T13:59:55
198.51.100.99   [5]     2025-03-10T14:00:45     2025-03-10T14:10:13
198.51.100.99   [13]    2025-03-10T14:13:52     2025-03-10T14:23:03
198.51.100.99   [7]     2025-03-10T14:24:18     2025-03-10T14:32:35
198.51.100.99   [5]     2025-03-10T14:50:51     2025-03-10T14:59:48
198.51.100.99   [8]     2025-03-10T15:02:13     2025-03-10T15:11:31
198.51.100.99   [5]     2025-03-10T15:13:05     2025-03-10T15:22:58
198.51.100.99   [7]     2025-03-10T15:37:45     2025-03-10T15:46:35
198.51.100.99   [8]     2025-03-10T15:54:43     2025-03-10T16:04:00
198.51.100.99   [10]    2025-03-10T16:08:31     2025-03-10T16:18:07
198.51.100.99   [7]     2025-03-10T16:29:06     2025-03-10T16:38:56
198.51.100.99   [5]     2025-03-10T16:39:27     2025-03-10T16:47:38

SQL Injection attempts:
IP              count
203.0.113.45    [6]
203.0.113.46    [5]
192.0.2.99      [4]
192.0.2.77      [4]
198.51.100.22   [4]
198.51.100.33   [3]
192.0.2.13      [3]
203.0.113.150   [2]
198.51.100.99   [2]
203.0.113.100   [2]
198.51.100.66   [1]
198.51.100.88   [1]
203.0.113.200   [1]
198.51.100.55   [1]
192.0.2.55      [1]

Local File Inclusion attempts:
IP              count
198.51.100.99   [16]
203.0.113.46    [12]
198.51.100.22   [11]
198.51.100.55   [9]
203.0.113.45    [8]
192.0.2.55      [6]
198.51.100.33   [5]
203.0.113.150   [4]
192.0.2.13      [3]
203.0.113.200   [3]
198.51.100.77   [3]
192.0.2.77      [2]
198.51.100.88   [2]
192.0.2.99      [2]
203.0.113.100   [2]
198.51.100.66   [2]

Command Injection Attempts:
IP              count
203.0.113.45    [9]
203.0.113.46    [8]
198.51.100.66   [8]
198.51.100.99   [7]
198.51.100.22   [7]
198.51.100.55   [4]
203.0.113.200   [4]
192.0.2.77      [4]
198.51.100.77   [4]
192.0.2.55      [3]
198.51.100.88   [3]
203.0.113.150   [3]
198.51.100.33   [2]
192.0.2.13      [2]
192.0.2.99      [2]
203.0.113.100   [2]
